ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-12-10,8.041707954453072,8.255735051300723,9.478725052991962,8.041707954453072,8.041707954453072,0.8029456744192452,0.8029456744192452,0.8029456744192452,0.35228836425037746,0.35228836425037746,0.35228836425037746,0.4506573101688678,0.4506573101688678,0.4506573101688678,0.0,0.0,0.0,8.844653628872317
2007-12-11,8.040161355666738,7.952060368575479,9.155865359429491,8.040161355666738,8.040161355666738,0.5530239388607672,0.5530239388607672,0.5530239388607672,0.1196357714777804,0.1196357714777804,0.1196357714777804,0.43338816738298674,0.43338816738298674,0.43338816738298674,0.0,0.0,0.0,8.593185294527505
2007-12-12,8.038614756880404,7.782496126084657,9.015265891962116,8.038614756880404,8.038614756880404,0.35038533939591326,0.35038533939591326,0.35038533939591326,-0.06666884477667345,-0.06666884477667345,-0.06666884477667345,0.4170541841725868,0.4170541841725868,0.4170541841725868,0.0,0.0,0.0,8.389000096276318
2007-12-13,8.037068158094073,7.745952098231847,8.973722965967072,8.037068158094073,8.037068158094073,0.3298456683296819,0.3298456683296819,0.3298456683296819,-0.07225394953409109,-0.07225394953409109,-0.07225394953409109,0.402099617863773,0.402099617863773,0.402099617863773,0.0,0.0,0.0,8.366913826423755
2007-12-14,8.03552155930774,7.752337856368588,8.965696577455729,8.03552155930774,8.03552155930774,0.3193554195184571,0.3193554195184571,0.3193554195184571,-0.069575292911052,-0.069575292911052,-0.069575292911052,0.38893071242950905,0.38893071242950905,0.38893071242950905,0.0,0.0,0.0,8.354876978826198
2007-12-15,8.033974960521407,7.497671952154873,8.68316946294946,8.033974960521407,8.033974960521407,0.06619385749702636,0.06619385749702636,0.06619385749702636,-0.3117129716916441,-0.3117129716916441,-0.3117129716916441,0.37790682918867047,0.37790682918867047,0.37790682918867047,0.0,0.0,0.0,8.100168818018433
2007-12-16,8.032428361735073,7.845619102659837,9.020280725524715,8.032428361735073,8.032428361735073,0.4176200923817011,0.4176200923817011,0.4176200923817011,0.048286923186748563,0.048286923186748563,0.048286923186748563,0.3693331691949525,0.3693331691949525,0.3693331691949525,0.0,0.0,0.0,8.450048454116775
2007-12-17,8.03088176294874,8.174707742034478,9.368187984507298,8.03088176294874,8.03088176294874,0.7157436206049987,0.7157436206049987,0.7157436206049987,0.352288364250264,0.352288364250264,0.352288364250264,0.36345525635473475,0.36345525635473475,0.36345525635473475,0.0,0.0,0.0,8.746625383553738
2007-12-18,8.029335164162408,7.8872995566013735,9.116116635368675,8.029335164162408,8.029335164162408,0.48009106430678616,0.48009106430678616,0.48009106430678616,0.11963577147744006,0.11963577147744006,0.11963577147744006,0.3604552928293461,0.3604552928293461,0.3604552928293461,0.0,0.0,0.0,8.509426228469193
2007-12-19,8.027788565376076,7.680247183863417,9.012432699873676,8.027788565376076,8.027788565376076,0.2937815933527179,0.2937815933527179,0.2937815933527179,-0.06666884477665477,-0.06666884477665477,-0.06666884477665477,0.36045043812937266,0.36045043812937266,0.36045043812937266,0.0,0.0,0.0,8.321570158728793
2007-12-20,8.02624196658974,7.747954302660261,8.924142636664003,8.02624196658974,8.02624196658974,0.29123905285757934,0.29123905285757934,0.29123905285757934,-0.07225394953405524,-0.07225394953405524,-0.07225394953405524,0.36349300239163457,0.36349300239163457,0.36349300239163457,0.0,0.0,0.0,8.31748101944732
2007-12-21,8.024695367803409,7.730278790643632,8.929391961203908,8.024695367803409,8.024695367803409,0.29999719162723515,0.29999719162723515,0.29999719162723515,-0.06957529291123835,-0.06957529291123835,-0.06957529291123835,0.36957248453847347,0.36957248453847347,0.36957248453847347,0.0,0.0,0.0,8.324692559430643
